id	baseMean	baseMean_CK	baseMean_MZM	foldChange(MZM/CK)	log2FoldChange	pval	padj
LOC111348321	504.4256779	745.4669173	263.3844384	0.353314724	-1.50097422	0.009861294	0.446799884
LOC111356581	41.08780755	60.79353965	21.38207544	0.351716244	-1.507516127	0.044155896	0.894661844
LOC111358024	73.34146459	108.5895895	38.0933397	0.350801029	-1.511275117	0.000835496	0.120199399
LOC111353254	2058.758795	3051.287776	1066.229814	0.349436006	-1.516899823	0.045152016	0.896101546
LOC111348537	22.60399107	33.53199982	11.67598233	0.348204175	-1.521994594	0.003195853	0.268002786
LOC111350001	291.2620033	432.5961721	149.9278344	0.346576887	-1.528752652	0.007062215	0.39421285
LOC111359549	9.493448576	14.15252911	4.834368046	0.341590398	-1.549660674	0.047566955	0.904460337
LOC111364931	11.50427713	17.16229486	5.846259409	0.340645552	-1.553656725	0.027424509	0.741684141
LOC111359938	2099.25827	3132.842927	1065.673614	0.34016184	-1.555706789	4.32e-05	0.023167175
LOC111350043	330.2918899	495.346732	165.2370478	0.333578557	-1.583901544	0.000145056	0.042172154
LOC111361992	1152.249186	1731.547992	572.9503796	0.330889113	-1.595580269	0.002495351	0.236888583
LOC111364953	2109.089756	3174.837412	1043.342099	0.328628513	-1.605470434	0.004356592	0.315006465
LOC111351318	29.68675087	44.7247478	14.64875394	0.327531281	-1.610295396	0.008115592	0.414567741
LOC111348768	1214.53436	1830.119191	598.9495289	0.327273509	-1.611431267	0.002023216	0.206087474
LOC111357325	10.04484197	15.15029903	4.939384908	0.326025572	-1.616942967	0.030775361	0.772829965
LOC111349554	275.0974648	415.0223893	135.1725403	0.325699393	-1.618387063	0.000301858	0.063824582
LOC111353793	1955.289933	2952.841983	957.7378833	0.324344441	-1.624401381	3.19e-05	0.021187165
LOC111347831	914.6625508	1393.17087	436.1542312	0.313065856	-1.675461922	0.00010088	0.037443074
LOC111348531	14.12335048	21.53959699	6.707103963	0.31138484	-1.683229388	0.009532834	0.440110577
LOC111355470	138.8975074	212.2015001	65.59351476	0.309109571	-1.693809768	0.004575226	0.320840631
LOC111350197	206.5418727	315.9329599	97.15078547	0.307504432	-1.70132089	1.89e-05	0.016497077
LOC111361991	6392.976129	9778.924815	3007.027443	0.307500824	-1.701337816	0.000418778	0.081167283
LOC111365071	25.27252955	38.75233623	11.79272288	0.304309986	-1.71638642	0.03111377	0.776731061
LOC111359342	738.5767884	1137.391228	339.7623491	0.29872074	-1.743130689	0.00652649	0.379488211
LOC111358878	9.77566622	15.07351273	4.477819713	0.297065441	-1.751147313	0.02414826	0.697699714
LOC111353471	8.450794843	13.05233427	3.849255418	0.29490935	-1.761656531	0.039496852	0.855913581
LOC111362505	184.2451298	284.6279	83.86235949	0.294638577	-1.762981759	0.000133154	0.040394933
LOC111353024	5018.916033	7758.400117	2279.431949	0.293801804	-1.767084841	0.009538262	0.440110577
LOC111357657	334.5850154	518.9003995	150.2696313	0.289592437	-1.787904169	1.34e-05	0.014881113
LOC111353928	957.4209812	1496.922502	417.9194601	0.279185769	-1.84070269	0.000162972	0.043736009
LOC111359922	2334.706156	3660.789891	1008.622422	0.275520435	-1.859768772	0.002152591	0.211545117
LOC111355378	2510.318762	3936.857872	1083.779653	0.27529052	-1.860973163	0.000810051	0.119917142
LOC111356478	108.811036	171.7210085	45.90106356	0.267300221	-1.903467064	6.57e-07	0.001527836
LOC111354667	489.2997908	773.1150972	205.4844844	0.265787701	-1.911653747	0.001173273	0.142374133
LOC111360037	41.64165261	66.04628457	17.23702065	0.260983956	-1.937966973	2.12e-06	0.00421891
LOC111349526	9.499585923	15.10808264	3.891089202	0.257550167	-1.957074621	0.029113476	0.753763559
LOC111362304	7.01875723	11.16794223	2.869572233	0.256947267	-1.960455788	0.037432944	0.834467616
LOC111357143	15.75983551	25.20342164	6.31624937	0.250610788	-1.996479573	0.002078777	0.209020044
LOC111360083	18.94451834	30.35357695	7.535459737	0.24825607	-2.010099099	0.000445273	0.083970112
LOC111357891	3288.411717	5293.464819	1283.358615	0.242442079	-2.044287977	0.000580822	0.10006626
LOC111357078	1056.718824	1702.027051	411.4105972	0.241718013	-2.048603106	0.000215986	0.053281462
LOC111359863	5.901676584	9.52803897	2.275314198	0.238801941	-2.066113533	0.045496397	0.896101546
LOC111356690	11.84583622	19.16510805	4.526564382	0.236187783	-2.081993753	0.004109391	0.303420898
LOC111352575	1854.527855	3019.76	689.2957097	0.228261752	-2.131238953	2.15e-08	0.0001
LOC111349559	7.113975748	11.64964644	2.578305059	0.221320456	-2.175791295	0.02187802	0.662212602
LOC111357314	846.468047	1392.266899	300.6691948	0.215956578	-2.211186836	6.83e-05	0.028045837
LOC111364587	10.0558167	16.54068818	3.570945211	0.215888551	-2.211641356	0.004756687	0.32814781
LOC111351918	94.40935533	155.8789303	32.93978034	0.211316438	-2.242523097	0.018915354	0.609616091
LOC111348312	11.97213902	19.76735111	4.176926933	0.211304333	-2.242605746	0.015079001	0.547988177
LOC111355935	16.58312576	27.41748145	5.748770071	0.209675352	-2.253770818	0.000297189	0.063824582
LOC111347832	5.566473911	9.240960692	1.891987129	0.204739225	-2.288140568	0.037914463	0.842510086
LOC111358249	33.71232232	56.56257967	10.86206496	0.192036237	-2.380549522	2.14e-07	0.000704079
LOC111355301	11.48643843	19.44105071	3.531826148	0.181668481	-2.460619959	0.041027117	0.869422096
